,movie_name,Produced by,Music by,Productioncompany,Running time,Country,Language,Budget(Milion),Box office(Milion),SuccessCategory
80,"Monkeys, Go Home!",['Walt Disney'],['Robert F. Brunner'],['Walt Disney Productions'],['101 minutes'],['United States'],['English'],NaN,3000000.00,Hit
81,The Adventures of Bullwhip Griffin,"['Walt Disney', 'Walt Disney[1]']","['Richard M. Sherman', 'Robert B. Sherman', 'Mel Leven', 'George Bruns']",['Walt Disney Productions'],['110 minutes'],['United States'],['English'],NaN,1900000.00,Hit
82,The Gnome-Mobile,"['James Algar', 'Walt Disney']",['Buddy Baker'],['Walt Disney Productions'],['84 minutes'],['United States'],['English'],NaN,4000000.00,Hit
83,The Jungle Book (1967 film),['Walt Disney'],['George Bruns'],['Walt Disney Productions'],['78 minutes'],['United States'],['English'],4.00,378.00,Flop
84,"Charlie, the Lonesome Cougar","['Walt Disney', 'Charles L. Draper']",['Franklyn Marks'],['Walt Disney Productions'],['75 minutes'],['United States'],['English'],NaN,NaN,Hit
85,The Happiest Millionaire,"['Walt Disney', 'Bill Anderson']",['Jack Elliott'],['Walt Disney Productions'],"['Los Angeles', 'New York City', ""Director's cut""]",['United States'],['English'],5.00,5.00,Flop
86,Blackbeard's Ghost,['Bill Walsh'],['Robert F. Brunner'],['Walt Disney Productions'],['106 minutes'],['United States'],['English'],NaN,24510000.00,Hit
87,"The One and Only, Genuine, Original Family Band",['Bill Anderson'],"['Richard M. Sherman', 'Robert B. Sherman', 'Jack Elliott']",['Walt Disney Productions'],['110 minutes'],['United States'],['English'],NaN,2250000.00,Hit
88,Never a Dull Moment (1968 film),['Ron Miller'],['Robert F. Brunner'],['Walt Disney Productions'],['99 minutes'],['United States'],['English'],NaN,4150000.00,Hit
89,The Horse in the Gray Flannel Suit,['Winston Hibler'],['George Bruns'],['Walt Disney Productions'],['113 mins.'],['United States'],['English'],NaN,3.00,Flop
90,The Love Bug,['Bill Walsh'],['George Bruns'],['Walt Disney Productions'],['108 minutes'],['United States'],['English'],5.00,51.00,Flop
91,Smith!,['Bill Anderson'],['Robert F. Brunner'],['Walt Disney Productions'],['102 minutes'],['United States'],['English'],NaN,1.00,Flop
92,Rascal (film),['James Algar'],['Buddy Baker'],['Walt Disney Productions'],['85 minutes'],['United States'],['English'],NaN,NaN,Hit
93,The Computer Wore Tennis Shoes,['Bill Anderson'],['Robert F. Brunner'],['Walt Disney Productions'],['91 minutes'],['United States'],['English'],NaN,6.00,Flop
94,King of the Grizzlies,['Winston Hibler'],['Buddy Baker'],"['Walt Disney Productions', 'Robert Lawrence Productions']",['93 minutes'],,['English'],NaN,NaN,Hit
95,The Boatniks,['Ron Miller'],['Bruce Belland'],['Walt Disney Productions'],['100 minutes'],['United States'],['English'],NaN,18607000.00,Hit
96,The Wild Country,['Ron Miller'],['Robert F. Brunner'],['Walt Disney Productions'],['100 minutes'],['United States'],['English'],NaN,4.00,Flop
